(2.00, 0.00, 2.00)|(0.00, 0.00, 0.00)|0|-1|0|0
(0.00, 0.00, 0.00)|(0.00, 0.00, 0.00)|0|-1|0|-0.0015
(-4.00, 0.00, -2.00)|(12.00, 2.00, 0.00)|0|0|0|2.767579
(-4.00, 0.00, -4.00)|(-12.00, 2.00, 12.00)|0|1|0|2.524531
(8.00, 0.00, 0.00)|(8.00, 2.00, -10.00)|0|0|0|-0.1242915
(-2.00, 0.00, 0.00)|(4.00, 2.00, -8.00)|0|1|0|-0.015
(-6.00, 0.00, 0.00)|(-6.00, 2.00, -10.00)|0|1|0|0.951177
(-2.00, 0.00, 2.00)|(0.00, 2.00, -10.00)|0|0|0|-0.1419028
(2.00, 0.00, -2.00)|(2.00, 2.00, 0.00)|0|1|0|-0.015
(2.00, 0.00, 6.00)|(-4.00, 2.00, -6.00)|0|1|0|2.423353
(2.00, 0.00, 2.00)|(2.00, 2.00, -2.00)|0|0|0|-0.1297078
(-6.00, 0.00, 0.00)|(-6.00, 2.00, -2.00)|0|1|0|-0.1505324
(6.00, 0.00, -2.00)|(10.00, 2.00, 4.00)|0|1|0|2.30129
(2.00, 0.00, 6.00)|(10.00, 2.00, 0.00)|0|1|0|-0.1586153
(-4.00, 0.00, 2.00)|(-2.00, 2.00, 4.00)|0|1|0|3.524511
(-2.00, 0.00, -6.00)|(0.00, 2.00, -8.00)|0|1|0|2.233645
(2.00, 0.00, 0.00)|(0.00, 2.00, -2.00)|0|1|0|1.793166
(-4.00, 0.00, -2.00)|(-2.00, 2.00, -2.00)|0|1|0|0.4338896
(2.00, 0.00, -6.00)|(-12.00, 2.00, -2.00)|0|1|0|-0.015
(-6.00, 0.00, -2.00)|(-2.00, 2.00, 4.00)|0|1|0|0.9707294
(-4.00, 0.00, 2.00)|(6.00, 2.00, -10.00)|0|0|0|4.106487
(2.00, 0.00, 4.00)|(-6.00, 2.00, -8.00)|0|1|0|-0.015
(-2.00, 0.00, -4.00)|(0.00, 2.00, -2.00)|0|1|0|0.9729319
(2.00, 0.00, 0.00)|(-4.00, 2.00, -6.00)|0|0|0|0.7516499
(-2.00, 0.00, -6.00)|(8.00, 2.00, 8.00)|0|1|0|3.395059
(-4.00, 0.00, -4.00)|(-6.00, 2.00, -2.00)|0|1|0|-0.08835001
(2.00, 0.00, 2.00)|(-8.00, 2.00, 4.00)|0|1|0|0.5016544
(4.00, 0.00, -4.00)|(-12.00, 2.00, -12.00)|0|1|0|-0.015
(-4.00, 0.00, -4.00)|(0.00, 2.00, -2.00)|0|1|0|2.527599
(2.00, 0.00, 0.00)|(12.00, 2.00, -2.00)|0|0|0|2.243166
(-4.00, 0.00, -2.00)|(-2.00, 2.00, 0.00)|0|1|0|0.4553859
(2.00, 0.00, 0.00)|(8.00, 2.00, -10.00)|0|0|0|-0.1505324
(-2.00, 0.00, 0.00)|(2.00, 2.00, 2.00)|0|1|0|-0.1505324
(6.00, 0.00, 2.00)|(-4.00, 2.00, 0.00)|0|1|0|1.741649
